Years,Months (MES),CADENA GENERAL,NAME,QUANTITY,VALUE,PRICE
2020,10,Sanborns,KIT Sebium P. Refiner 30ml+ Sebium Gel 100ml,37,17782.04,480.5956757
2020,10,Sanborns,Nodé DS+ 125 ml,4,1294.41,323.6025
2020,10,Sanborns,Nodé Shampoo Fluido 400 ml,1,359.48,359.48
2020,10,Sanborns,Photoderm AKN Spf 30 40 ml,2,825.86,412.93
2020,10,Sanborns,Photoderm AR Spf 50+ 30 ml,4,1616.12,404.03
2020,10,Sanborns,Photoderm Bronz 200 ml,1,451.72,451.72
2020,10,Sanborns,Photoderm Cover T. Claro 40 gr,30,12824.67,427.489
2020,10,Sanborns,Photoderm Cover T. Dorado 40 gr,25,10787.96,431.5184
2020,10,Sanborns,Photoderm Crema Dorado Spf 50+ 40 ml,4,1314.57,328.6425
2020,10,Sanborns,Photoderm Kid Leche 50+  100 ml,1,290.95,290.95
2020,10,Sanborns,Photoderm M Spf 50+ 40 ml,12,4964.05,413.6708333
2020,10,Sanborns,Photoderm MAX Aquafluido Claro 40 ml,14,4668.12,333.4371429
2020,10,Sanborns,Photoderm MAX Aquafluido Dorado 40 ml,14,4465.87,318.9907143
2020,10,Sanborns,Photoderm MAX Aquafluido Neutro 40 ml,17,5566.14,327.42
2020,10,Sanborns,Photoderm MAX Crema 40 ml,6,2022.42,337.07
2020,10,Sanborns,Photoderm MAX Spray Spf 50+ 400 ml,17,9514.69,559.6876471
2020,10,Sanborns,Photoderm Nude Touch Claro Spf 50+ 40 ml,15,6456.62,430.4413333
2020,10,Sanborns,Photoderm Nude Touch Dorado Spf 50+ 40 ml,11,4776.2,434.2
2020,10,Sanborns,Photoderm Nude Touch Muy Claro Spf 50+ 40 ml,11,4798.26,436.2054545
2020,10,Sanborns,Photoderm Spot Age Spf 50+ 40 ml,7,2854.66,407.8085714
2020,10,Sanborns,Sebium Barra 100 gr,9,1117.7,124.1888889
2020,10,Sanborns,Sebium Gel Gommant 100 ml,10,2907.6,290.76
2020,10,Sanborns,Sebium Gel Moussant 100 ml,53,8693.4,164.0264151
2020,10,Sanborns,Sebium Gel Moussant 500 ml,14,6713.28,479.52
2020,10,Sanborns,Sebium Gel Moussant Tubo 200 ml,32,9422.52,294.45375
2020,10,Sanborns,Sebium Global 30 ml,9,3637.08,404.12
2020,10,Sanborns,Sebium H2O 100 ml,9,1381.05,153.45
2020,10,Sanborns,Sebium H2O 250 ml,5,1628.8,325.76
2020,10,Sanborns,Sebium H2O 500 ml,5,2337.08,467.416
2020,10,Sanborns,Sebium H2O Bomba Inv 500 ml,10,5049.02,504.902
2020,10,Sanborns,Sebium Hydra 40 ml,12,4231.52,352.6266667
2020,10,Sanborns,Sebium Night Peel 40 ml,3,1393.98,464.66
2020,10,Sanborns,Sebium Pore Refiner 30 ml,13,5988.06,460.62
2020,10,Sanborns,Sensibio AR 40 ml,12,4475.51,372.9591667
2020,10,Sanborns,Sensibio Ds+ Crema 40 ml,12,4147.41,345.6175
2020,10,Sanborns,Sensibio Gel Contorno de Ojos 15 ml,12,3734.52,311.21
2020,10,Sanborns,Sensibio Gel Moussant 200 ml,36,11367.93,315.7758333
2020,10,Sanborns,Sensibio Gel Moussant 500 ml,28,12901.96,460.7842857
2020,10,Sanborns,Sensibio Gel Moussant Tubo 100 ml,45,7253.6,161.1911111
2020,10,Sanborns,Sensibio H2O 100 ml,40,5959.69,148.99225
2020,10,Sanborns,Sensibio H2O 250 ml,17,5804.12,341.4188235
2020,10,Sanborns,Sensibio H2O 500 ml,40,18672.95,466.82375
2020,10,Sanborns,Sensibio H2O Bomba Inv 500 ml,18,8783.86,487.9922222
2020,10,Sanborns,Sensibio Light 40 ml,18,5630.69,312.8161111
2020,10,Sears,Atoderm Barra 150 gr,8,694.65,86.83125
2020,10,Sears,Atoderm Crema Tubo 200 ml,12,1528.97,127.4141667
2020,10,Sears,Atoderm Intensive Balsamo 200 ml,2,550,275
